Taxon	Taxon	Taxon	barcode02	barcode02	barcode02	barcode14	barcode14	barcode14	barcode26	barcode26	barcode26	barcode38	barcode38	barcode38	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38
Name	NCBI ID	Rank	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score
root	1	no_rank	316129.0	149680.0	44.29767278547681	309866.0	226804.0	23.671038448877898	233907.0	119318.0	39.44260325684994	229008.0	85433.0	52.59091822119751	315897.0	149551.0	44.30474806661667	309544.0	226564.0	23.674036647455623	233805.0	119268.0	39.44392977053529	228870.0	85380.0	52.59338926027876
Bacteria	2	superkingdom	156539.0	33.0	80.04101214393857	82293.0	35.0	74.72834870523616	110842.0	38.0	75.47353891124303	130781.0	47.0	81.57115330208516	156439.0	33.0	80.04638868824273	82213.0	35.0	74.73571089730336	110790.0	38.0	75.47770556909471	130704.0	47.0	81.57408342514384
Proteobacteria	1224	phylum	105145.0	6.0	81.63525607494412	7375.0	0.0	84.94698305084742	7292.0	4.0	78.58063631376851	8640.0	2.0	82.83206018518518	105088.0	6.0	81.64039661997569	7372.0	0.0	84.94655453065654	7285.0	4.0	78.58764584763212	8630.0	2.0	82.84692931633836
Gammaproteobacteria	1236	class	102433.0	31.0	81.725518143567	6612.0	6.0	86.40517241379307	1827.0	3.0	68.61138478379858	3306.0	1.0	78.48275862068965	102380.0	31.0	81.73045516702486	6609.0	6.0	86.40535633227417	1822.0	3.0	68.61745334796927	3300.0	1.0	78.50909090909092
unclassified Gammaproteobacteria	33811	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	76.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	76.0
endosymbiont of Euscepes postfasciatus	650377	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	76.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	76.0
Thiotrichales	72273	order	4.0	0.0	59.75	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0	4.0	0.0	59.75	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0
Piscirickettsiaceae	135616	family	4.0	0.0	59.75	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0	4.0	0.0	59.75	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0
Piscirickettsia	1237	genus	2.0	0.0	58.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	58.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Piscirickettsia salmonis	1238	species	2.0	1.0	58.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	1.0	58.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Piscirickettsia salmonis LF-89 = ATCC VR-1361	1227812	strain	1.0	1.0	62.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	62.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Methylophaga	40222	genus	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	80.0
Methylophaga frappieri	754477	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	80.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	80.0
Thiomicrorhabdus	2039723	genus	2.0	1.0	61.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	1.0	61.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Thiomicrorhabdus sediminis	2580412	species	1.0	1.0	54.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	54.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pseudomonadales	72274	order	79525.0	1.0	80.02941213454888	937.0	0.0	79.67982924226251	44.0	0.0	49.38636363636363	47.0	0.0	78.59574468085107	79481.0	1.0	80.03463720889268	937.0	0.0	79.67982924226251	44.0	0.0	49.38636363636363	47.0	0.0	78.59574468085107
