Taxon	Taxon	Taxon	barcode03	barcode03	barcode03	barcode15	barcode15	barcode15	barcode50	barcode50	barcode50	barcode62	barcode62	barcode62	barcode74	barcode74	barcode74	stringent_demultiplex_barcode03	stringent_demultiplex_barcode03	stringent_demultiplex_barcode03	stringent_demultiplex_barcode15	stringent_demultiplex_barcode15	stringent_demultiplex_barcode15	stringent_demultiplex_barcode50	stringent_demultiplex_barcode50	stringent_demultiplex_barcode50	stringent_demultiplex_barcode62	stringent_demultiplex_barcode62	stringent_demultiplex_barcode62	stringent_demultiplex_barcode74	stringent_demultiplex_barcode74	stringent_demultiplex_barcode74
Name	NCBI ID	Rank	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score	Read count at this taxon and below	Read count directly assigned to this taxon	Normalized score
root	1	no_rank	407209.0	346111.0	15.12434646581976	165967.0	22157.0	71.1733236125254	276366.0	143616.0	37.45704970944328	265273.0	154278.0	33.39451810022129	108747.0	71963.0	27.36221688874176	406957.0	345897.0	15.124774853362885	165950.0	22154.0	71.17395601084665	276256.0	143554.0	37.45905609289934	265183.0	154225.0	33.39587002183398	108703.0	71936.0	27.363108653855
Bacteria	2	superkingdom	45690.0	10.0	81.06699496607571	143739.0	31.0	81.38592170531311	8243.0	6.0	80.12289215091592	105802.0	30.0	72.78235761138733	34678.0	4.0	71.81106176826806	45663.0	10.0	81.06909313886514	143725.0	31.0	81.3862654374674	8241.0	6.0	80.1242567649557	105767.0	30.0	72.78488564486088	34662.0	4.0	71.8182736137557
Proteobacteria	1224	phylum	17502.0	0.0	87.113701291281	2499.0	0.0	86.18727490996399	6966.0	3.0	82.60493827160492	15851.0	2.0	87.67314365024289	4443.0	0.0	87.32185460274589	17488.0	0.0	87.1220265324794	2499.0	0.0	86.18727490996399	6965.0	3.0	82.60603015075377	15847.0	2.0	87.67571149113397	4443.0	0.0	87.32185460274589
Gammaproteobacteria	1236	class	17417.0	0.0	87.20089567663777	1037.0	0.0	86.69334619093539	5211.0	3.0	83.82805603530991	1069.0	2.0	79.43498596819457	433.0	0.0	77.86143187066975	17403.0	0.0	87.20933172441532	1037.0	0.0	86.69334619093539	5210.0	3.0	83.82975047984645	1069.0	2.0	79.43498596819457	433.0	0.0	77.86143187066975
Thiotrichales	72273	order	2.0	0.0	42.5	1.0	0.0	49.0	1.0	0.0	30.0	3.0	0.0	47.0	0.0	0.0	-inf	2.0	0.0	42.5	1.0	0.0	49.0	1.0	0.0	30.0	3.0	0.0	47.0	0.0	0.0	-inf
Francisellaceae	34064	family	0.0	0.0	-inf	1.0	0.0	49.0	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	49.0	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf
Francisella	262	genus	0.0	0.0	-inf	1.0	0.0	49.0	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	49.0	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf
Francisella opportunistica	2016517	species	0.0	0.0	-inf	1.0	1.0	49.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	49.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Francisella	2610885	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	11.0	0.0	0.0	-inf
Francisella sp. LA112445	1395624	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	11.0	0.0	0.0	-inf
Piscirickettsiaceae	135616	family	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	65.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	65.0	0.0	0.0	-inf
